text,sentiment
jaring ya super sekalisuper lelet pakai hp merah lelet ping ya main mobile legends ping an tuh reset modem ganti modem ganti kabel pakai perangkat hp leletalamat sui raya pontianak,Positif
menu bantu hoax efektif banget bikin aplikasi niat bantu ganggu pegawai utama prioritas layan langgan percaya,Positif
app mudah usaha guna isi bayar beli paket helpdesk troubleshooting uninstall,Positif
pasang provider rumah trouble complain via wa otomatis cut bot ganggu masal ambil paket bagus kualitas jelek minggu ganggu kali bosan hapal cs bot templates,Negatif
mantab,Negatif
kabel loss kedip merah baik tunggu pas pasang gesit dtang krumah eh suruh bayar pas bayar kabel loss wifi lelet baik ya lamak,Positif
cust servicenya susah hubung pagi hidup wifi butuh menit conect kali cabut stop contack ya salur tv sinyal kalah stb byr bulan parah salesnya hilang instalasi pasang complain kali ya rencana cari provider,Negatif
lapor tunggu tanganipadahal gue bayar teknisi beda rumah ajakenapa tempat gue,Negatif
good,Positif
lag stuck,Negatif
los mulu parah sesal gue pakai wifi,Negatif
jaring jelek ya ganti kabel optik ya suapaya bagus jaring lot tagih ya duedate ya maju ya bayar,Positif
kontol jaring mati hari tindak apa beda provider trouble langsung dibenerin telpon doang kontol,Negatif
tangan jaring lost lambat lapor siang sore suruh tunggu jam estimasi jam sore malam,Positif
parah downlod fungsi,Negatif
gila ngalamin pasang wifi mana pasang aktiv bayar bayar buru bilang lokasi pasang pas bayar teknis pasang aneh,Positif
pakai internet inilemottidak sesuai paket,Positif
ya pakai bayar ya utuh pelanyaan ya mah hancur kagak kaya ya,Positif
customer nih,Negatif
jaring lelet pindah paket mbps,Positif
langgan oxygen pasang alhamdulillah lancar smpet kendala rumit puas bayar gampang ecommerce tokopedia,Positif
kacau jarak meter sinyal router jelek router ruang dapur sinyal putus kualitas routernya buruk,Negatif
wifi oxygen sngat bantu harga jangkau flat anti lot,Negatif
kecewa oxygen awlanya pasang langsung bayar full bayar kali kunjung pasang wifi ya minggu larut pasang putus batal kembali dana aju dana kembali kerja kerja dana kunjung dikembalikansudah nelpon contact center terima puas,Positif
internet nyala cs tunggutunggu kapangila perusahaanyg jam teknisi rmyg bodoh banget,Positif
tolong mbamas cepat baik wifi rumah id langgan an bambang fitriyanto minggu internet rugi,Positif
jaring aman bayar gampang no denda denda keluh kali jam baik apk ya,Positif
ter the best alam dunia,Negatif
lucu aplikasi wkwkw,Negatif
lancar jayablm ganggu,Negatif
customer live agent ya lambat lelet buruk,Positif
tagih tdia pasang sales bilang naik harga suka ganggu tolong jelas ya terimakasih,Positif
baik ganggu banget rekomendasi wifi,Negatif
harga jangkau kwalitas muas,Positif
coba salesnya dibilangin nipu customer pasang bilang harga ubah pakai tahun tahun pakai harga langsung ubah salesnya briefing nipu,Positif
masalah ya los merahawal sales janji bagus apa nyata ya sesal pakai oxigensaya pindah oxigen pengin ya parahhhhampir cs ya samakalau teknisi tkng pacul suruh dtng lokasi biar bilang action langgan nyagak paham oxygen layan ya ajasangat minim,Positif
asih ulas jelek bingung salesnya pintar banget ngomongnnjir lot baca ulas bilang lot,Negatif
bayar sales bilang pasang refund,Positif
provider tololjaringan merah kemarin maju baik,Negatif
kecewa bayar kali provider internet bilang bayar masuk sistem mandiri ya bohong pakai mandiri lho kecewa customer service ya live agent nama ya live agent hilang hilang kayak mahluk halus sayang hai gilir balas balas ya kali menit sorry sayang oxygen hormat rugi laku bayar sisa kontrak,Negatif
internet oxygen cari konsumen cepat respon ya konsumen baik internet nyaparaaahhhh respon ya lapor minggu pagi nomor ticket perbaikankunjungan teknisi hadir senin siang nomor ticket mohon kwalitas layan langgan perhati,Positif
jaring aman bayar mudah cepat upgrade speed mudah aplikasi pokok is the best,Negatif
wifi eror malam minggu layan ya lambat admin edo,Negatif
aplikasi bantu cust oxygen wifi,Negatif
lelet wifi oxygen sesal pasang,Positif
ngelag banget jeng,Positif
kayak bayar kelen ah sinyal ya kayak,Negatif
kecewa banget nukarin poin upgrade speed mbps ubah ngumpulin poin langgan,Positif
banget jaring ilanglama sih pikir layan nyaman rugi konsumen minggu eror jaring,Positif
langgan jaring ya ganggu jaring tolong baik rugi orang,Positif
bagus kencang harga jangkau,Positif
awalanya doang internet oxsigen kasih layan all layan jaring tagih ubah komit masuk prum baik jaring tagih flet ubah aktual langgan kasih napas ubah sesuai komitmen sepakat moga oksigen kelak kena karma kecewa berat kalaw oxsigen,Positif
bayar bayarsedangkan bayar langsung matikecuali bayar pakai wiffi bayar laluini pakai suruh bayar laluseakan kredit kendara,Positif
pakai oxygen pakai oxygen urung pakai wifi bayar bulan nikmat internetnya diselingin los merah tunggu betul minggu parah kemarin gua bayar wifi ya nikmat wifi bulan full gakada betul wifinya pakai wifi oxygen,Negatif
langgan ngelag lot campur aduk,Positif
bagus buzer ya,Positif
eror kontol rumah gue,Negatif
aju pasang ktany teknisi tolak pusat alas lewat rumah kembali uang tf,Positif
responnya slow banget lapor pagi siang banget balas chatnya sinyal kadang hilang hubung internet kecewa banggan pasang internet mending cari ribet kecewa,Positif
aplikasi sampah minggu komplain teknisi internet normal internet,Negatif
mudah,Positif
lihat tagih oxigenpdhl upgrade baru,Positif
lengkap,Positif
aplikasi ya buka masuk login,Negatif
responnya jelek banget,Negatif
respon baik lamaa chat ya baik gera,Positif
kali kirim ticket ping stabil apk ya ngestuck masuk home page,Positif
busuk layan teknisi ya beres bayar langsung padam internetnya tangan ya respon bagus provider,Positif
kacau solusi lambat nang ya rugi hari pakai internet,Positif
fiturnya lengkap akses fiturfiturnya mudah tampil keren,Positif
tangan makan kecewa banget langgan layan buruk profesional trouble minggu buangbuang pulsa tenaga rekomen lagilagi langgan oxygen,Positif
kecewa banget pasang kendala tuh teknisi tugas orang rumah ya banget,Positif
wifi benerin sih trauble terus,Positif
buruk nama nya bagus,Negatif
wifi oxygen rubang nama orang,Positif
coba layan ya jelek responnya hilang ilangan teknisi ghoib,Negatif
baik aplikasi ya bantu,Positif
kecewa banget langgan bayar uang pas pasang pending alas ijin rt rw pasang kabel pusat sosialisasi ijin pasang rt rw ngecewain kembali dana jelas,Positif
downditengah malamkadang siang bolongpertama ya jossmakin kesini payah moga lekas baik layan ya min biar konsumen kecewa,Positif
pakai oxygen pasang wifi jam pagi ujan gede wifi loss tanda merah router restart restart ya guys riset pagi lapor loss dilakuin normalkdng smbung pakai orang loss pagi lngsng lapor cs via whatsapp menit lngsng nomer lapor malam langsung cek teknisi gercep smpet ragu review jlk playstore,Positif
wifi pakai google facebook youtube lot beli wifi baik beli,Negatif
bagus sayang iphone bintang iiphone nabah bintang,Negatif
salesnya bilang paket mbps harga xxxxx flat tahun harga xxxxx oke harga eeehhhhh mbps rang mbps komplain mbps promo down tv lag keluh customermu ditinggalin,Positif
siknal kadang cepat kadang lambat,Positif
jaring hilang ngan wifi,Positif
hari interneran los sinyal wa salesnya ubah telepon wa tanggap gila kapai gue pasang internet tv cable nikmatim fasilitas entar tau suruh bayar sistem model nikmat full suruh bayar full waras sih,Positif
suka banget oxygen murah layan maksimal moga sukses oxygen,Positif
internet aman aplikasi bantu,Negatif
oxygen layan maintenace ya terima kasih merespon keluh,Positif
top,Positif
bagus paham tanggal jatuh tempo tulis paid unpaid warna ubah bingung tolong tambah fitur lapor ganggu terima kasih mohon timbang,Positif
habis ujan ngadat mbps,Negatif
baharu mulu heran,Negatif
oxigen andelin pasang harga kasih jangkau kualitas kalah harga baru bagus payah jaring ngerestart zte kali remot pakai conecting jaring lost merah wifi suka lot invoice masuk email daftar sila ambil alat,Positif
sesal pakai wifi produk sinyal lot ngelag rumah orang doang pakai,Positif
ya wifi internet ya stabil tangan ya ok problem sales ya gercep keluh recommended banget sih langgan coba rasa,Positif
ok,Positif
baik sih sinyal kendala paket murah biaya bulan kenaikanflat,Positif
sesal ganti provider layan oxygen pokok the best pokok,Negatif
layan buruk,Negatif
puas,Positif
aplikasi ngebug terussusah ecek tagih bayar internet,Negatif
wifi lancarmulai siang malam lost connectiontolong baik,Negatif
semenjak ganti kabel jam malam koneksi super cacat banget main game ngangkat ping an,Positif
mahal promo promo bagus murah sesuai kualitas down aplikasi guna apk bayar batas virtual akun bank inti oxygen bagus jelek bayar muka pasca bayar pasca bayar rada nipu nih provider tarik masang mikir kali,Positif
aplikasi jelaspengaduan lambat ditanggapiseminggu jaring rusaksering indikator wifi hp tanda,Positif
login,Negatif
ancursetiap lampu indikator los menyalamasa kendala kawan tolong baik layananya,Positif
respons lambat,Positif
mengecewakantidak rekomendasi,Negatif
coba buka kali pasword dreset ya,Positif
rusak internet loss janji teknisi baik suruh standby jam jam sore malam tunggu indak muncul customer service aplikasi diam respon bantu oxygen id wa sales indak angkat telepon lepas tanggungjawab aplikasi duli bayar keluh langgan indak direspon maaf layan oxygen pasang pasang trouble derita langgan aplikasi tolong,Negatif
sinyal suka hilang doang bagus sinyal hilang sumpah recoment banget paket internet jelek parah sesal pakai oxygen,Negatif
jelek,Negatif
respon cepat internet ya muaaaantaaap,Positif
sih kerja ya kotor kotak penuh paksa nyabut orang kotor sales teknisi ya dirugiin laku sales teknisi maksa masang penuh box ya,Negatif
baik,Positif
mati kunjungsn besok lusa mati proses kunjung ya dst,Positif
pakai pasang copot wa salesnya dikacangin ig oxygen id dikacangin copot susah yaudalah didiemin bayar,Negatif
downgrde suruh bayar urus heran layan balesnya banget,Negatif
oke,Positif
oxsgen buruk roter ngelos benerin,Negatif
pakai oxygen,Negatif
brlangganan bulan ganggu respon prbaikan sngat lambat pmberitahuan email internet ganggu los merah komen minus ya oxygen pindh provider maaf layan user krg muas bayar lho gratis cuy,Negatif
mantul,Negatif
update log ya lot banget jaring mah kayak indihome lot jaring masalah slow respon banget tolong baik ya enak mengunakan wifi,Positif
apa jaring ya banget kesini reset lot,Positif
langgan langsung los merah baik estimasi parah,Positif
halo tolong bayar tagih aplikasi error buka tolong baik,Negatif
lo gue endfiber optik troble,Negatif
layan buruk banget internet mati lapor cs dibenerin sesal pakai oxygen,Positif
tv kabelny pasangjanji pasang minggu info wa baca telepon angkatwifi katany jarak meterjarak meter sinyal parahhhhhhhhhh,Negatif
parah sales teknisi ya gue bayar langgan tanggal april sales bilang tanggal april jam pasang router wifinya tanggal april pasang gua kali telfon customer care ya ya bantu follow up konfirmasi gua bad responsibility profesional gua pas pasang jelek nih signal ya kecepetan mbps ya sesuai,Positif
masuk,Negatif
bobrok,Negatif
update perangkat kompatibel buka aplikasi,Negatif
asem los lapor tanggap kacau,Positif
tolong wifi oxygen wifi lag melulu kecewa bayar bulan doang mahal jaring lag los melulu,Negatif
diupdate buka,Negatif
mantap lelet,Positif
pakai minggu kendala mulu wifi sambung no conection ah payah,Negatif
layan jelek wifi ya loss hubingun cs ya respondnya kacau asli sesal pakai gua,Positif
kerja wfh ganggu jaring dc id langgan atas hubung,Positif
bantu kendala terima kasih,Positif
pelayananpaling burukiptv umur seharisudah error pakaingadu tanggap,Negatif
bagus wifi okee,Negatif
tanggal tanggal wiffi sambung baik ya tambah aktif buang sia sia pakai wiffi aju email alesan aktif kocak bikin wiffi pakai lo gue errorin tuh wiffi pindah wiffi oxygen hari wiffi suruh adu emailtapi jwbn ya kocak,Negatif
alhamdlah pakai lancar lancar tahun ganggu kali itu penanganya cepat cepat bagusdibandingin tetangga mahal,Negatif
wifi cacat ajg bayar internet konyolkonyol,Negatif
kualitas buruk ganggu minggu pasang mending pakai,Positif
very helpfull,Negatif
kali ganggu baik lambat cs respon tenang telfon cs bikin lapor nelfon kece system nihil,Positif
sistem otomatis layan aktif bayar tagih mennganggap customer bayar april solusi sesuai cs,Positif
aplikasi bantu,Negatif
proveider oxygen id mantap mudah semuaanya keluh langsung pakai apk selfcare oxygen id home josssss,Positif
internet ya ganggu mulu kali ganggu solusi,Positif
layan buruk oxygen internet los internet hari los internet pakai pastiin besok pagi los ganti internet home,Negatif
layan lelet adu lelet tehnisi lelet duit gercep,Negatif
trouble baik rugi,Negatif
oxygen lot ganti ya,Negatif
inet bestt,Positif
los merah tangan telat bayar langsung non aktif buruk,Negatif
bayar tagih susah banget hadeh aplikasi kepake bayar pakai ovo error pakai cc loadingnya tahun ampun deh,Negatif
sales ya teknisi kayak anak magang ajar deh kerja ya untung gajadi masang,Positif
aplikasi jelek wifi jelek doang bagus pas launching layan whatsapp cs buruk,Negatif
kasih ganggu sinyal,Negatif
sinyal bagus adu tanggap internet bagus,Negatif
parah nih orang salesnya pnipu bayar rp orang minggu tolong mind tindak lapor sebar buru oxygen wiffi lapor polisi dasar tipu,Positif
ngeluh bilang aplikasi bukti gue install hp benerin ganti sih sok far sok good bilang internet ya meter lihat halang sinyal sinyal wifi tuh pantul tembus tembok beli rotter tambah salah aplikasi,Negatif
susah banget hubung cs marketing ya,Positif
internet suka los cepat jaring down internet mati tangan positif cs agent whatssapp respon telepon kali kali cs ya tunggu tunggu tunggu proses asli kerja oxygen bagus turun mudah ya oxygen,Positif
jaring stabil terima kasih oxygen,Positif
aplikasi update abisin ram update buang buang simpan tolong baik apkiaksi dikit update,Negatif
pasang cepat pesan kemarin besok langsung pasang wow keren internetnya stabil mbps aplikasi oxygenya berat loadingnya tolong baik,Positif
kecewa aplikasi buka,Negatif
good,Positif
internet lost hubung call center teknisi teknisi rumah betul trouble ya rugi konsumen solusi bayar teknisi betul,Positif
bayar lancar kendala,Negatif
sih oxygen ganggu bulan minggu ganggu bayar kendala mulu,Negatif
respon tangan bangsad,Positif
lumayan cepat wifinya bagus tolong cepat layan followup service customer moga biar langgan amin,Positif
layan costumer servis burukk rating layan teknisi langgan costumer servis teknisi suka hati tanggung kerja,Positif
ditanganin komplen kesel banget ya allah kali ditanganin chat oxygen carenya dianggurin komplenan,Positif
jelek kualitas aplikasi backbone pindah lihat komentar bintang,Negatif
masang wafi oxsigen rusaktgl juni tanggal juni jaring box ya tanda merah bayardah lunas jaring ya jelek nyeselpasang mending pasang indihom bagus seumurhidup,Positif
parah layan,Negatif
kecewa siar piala dunia hilang,Negatif
app bagus bantu reminder jatuh tempo bayar info promo program tarik,Positif
simpel,Positif
layan buruk customer service susah hubung konsumen susah lapor ganguan jaring ganggu jaring konsumen pasti komplain,Negatif
aplikasi isi bayar bayar info info wifi trouble wifi los tangan lambat bayar nunggak sekali baik jam malam diomongin iya iya iya ubah,Negatif
jnck sinyal los tanggap cs ya parah banget sinyal hilang,Positif
gila keren banget pakai emel jaring lancar banget,Positif
update login piye,Negatif
good service,Positif
apk oke fiturnya lengkap mudah banget terimakasih oxygen,Positif
tangan keluh customer ya jelek bolak chat oxycare wa wifi internet issue baik bolak lapor lapor close tangan apa jelek banget,Positif
cs slow respon kga erti produk knowledge anehh loss ya internet hilang,Positif
bantu selfcare oxigen biaya bulan jangkau,Negatif
provider baik,Negatif
kacau layan an ya,Positif
wkwkwkw baik pengin simple bayar ovo lanjut,Positif
eror apk heran,Negatif
wifi abalabalsinyal hilang muter doang jalan sekalibagi coba wifi mending mikir deh,Positif
oke,Positif
puas oxysemoga cepat respon langgan,Positif
oxygen lemoooooooot,Positif
susah banget adu jaring loss internet langgan bingung mana ngadunya komen negatif asih bintang sesuai sih layan,Positif
mantap maintance ya cepat fast respon sales area ya,Positif
lambat nang kemarin wifi los,Positif
tangan trouble ulas trobel tanda baik,Positif
mudah simple,Positif
jelek sesal pakai oxygen tv lengkap error mulu telepon cs ya aiu aiu doang slsain masaalah pasang pikir kali deh lp cek deh ulas ya sesal kayak,Negatif
good oxygen mantab,Positif
pasangjangan lihat komentar yabuktikan komen bawah kompetitorselama pakai tahun bagus ajaya iya macet provider ajasaya pakai oxygen aman ajasaya rumah pakai hp lebihbelum laptop tv koktetap aman jaring ya,Positif
parah pelayanannyabayar tanggal katnya pasti pasang tanggal teknisi bilang sinyal orang jaring benerin tim jaring sabtu minggu libur tanggal telp jaring oke tanggal pasangbelum pasang telp sinyal kacau,Positif
tolong bantu login suruh ganti password gilir verifikasi via sms gamasuk masuk via email error loh cek tagih bayar puter puter kayak gangsing,Negatif
oxygen keren,Positif
pakai isp dhsy pasang tanggal des pakai hari ajasmp internetnya matiresponnya lamatolong baik layan langgan langsung ganggu internet berharihari,Positif
app test speed respon tekan bantu respon,Positif
orang kantor bilang box ya orang teknisi bilang penuh refund,Positif
tv kabel internet loading trsnontonpun muter mulu complain,Negatif
harga murah speed ya kencang top,Positif
langgan komplen jaring kabel stabil muncul tombol merah lampu wifi telpon contact center kali teknisi respon habis pulsa bagus kali pakai doang telah gaberes jaring,Positif
good aplikasi,Negatif
aplikadi,Positif
login,Positif
banget deh sering masalah tangan lambat,Positif
lihat tagih ya aplikasi,Negatif
aplikasi setting ujung suruh hubung call center call centernya lambat banget responnya wa telepon lambat respon jaring stabil banyak lot payah,Positif
sinyal paket ya,Positif
kesini buka bagus eror jaring los merah mllu proses baik aplikasi guna payment doang fitur adu biar cepat tanggap baik cek kala terminal box ya tunggu lapor error cek,Negatif
wifi ajar ganggu,Negatif
muas layan ya,Positif
loss xtlp cs besok langsung baik beres gue langgan jarang banget jaring top oxygenid,Positif
loh langsung upgrade kasih permanen asih bintang paham erti sakit otak ya sekolah kali,Positif
jaring ya lelet,Positif
baaru pasang jaring lemott akses ganti pw kasih tau les sih,Positif
minggu lebihgak tonton tvlama respon nyasekali direspon nyuruh nyacabut colok cabut colok mulu nyayg mesin bot,Negatif
mantap pakai wifi inilancar,Positif
internet akses,Positif
aplikasi kg mending hapusmasuk app kg kg jelas fungsi,Negatif
pasang sih oke iring jalan kadang jaring ya suka putus respon cs ya tangan lapang lambat koneksi internet on time bayar tagih tim tangan ya menelfon cs ya kali,Positif
internetnya kencang harga jangkau recomend coba wifi oxygen aplikasi lengkap mantap,Positif
lag parah noob,Negatif
mantabbbbbb,Negatif
buruk,Negatif
alam guna ganggu alas providernya wifi putus sabtu baik providernya lapor tanggap ogah kes hindar,Positif
tampil ui ya bagus simple moga fiturnya lengkap,Positif
jaring lost baik kemarin pas banjir mati lampu kompensasi bayar,Positif
sesal pakai oxygen pakai akun eh pas pakai akun butuh orang kerja pas pasang itu beda kontra ya eror ping buka youtube buka google lalot parahorang kerja kerja minggu hubungin oxygen id eh responnya doang kantor bilang pagi sore kunjung layan buruk,Positif
los teross,Positif
daerah alhamdulilah pakai kendala berartisecara puas good,Positif
aplikasi baik bantu bayar internet oxigen,Negatif
les teknisi brengsek bulan wifi ya pasang bayar full gilir kotak salesnya jawab,Negatif
internet buruk habis hujan internet lapor telpon pakai pulsa customer service lapor internet ya by gmail bikin lapor internet ya,Positif
cs slow respon sulit hubung ganggu baik ganggu hari,Positif
aplikasis suka error pasuk alamat email bilang daftar pasuk nomor tagih lari email,Negatif
mantap nih mudah,Positif
halo kak banget bayar konsultasi ya mana ya terimakasih,Positif
oxygen internet,Positif
kecewaaa sangatttinternet mati telp teknisi nyala jelas,Positif
apa nih oxygen sinyal suka hilang ilangan,Negatif
masang wifi install apk tagih paham jujur tau apk tagih rban aneh,Negatif
jelek oxygenkapokkk rusak mati total oxygen pasang oxygenrating turun buruk rating ngalamin kecewa sayaakan dicuekin operator complainslma gubris operator ya isi bohong semuarating makinntrun layan jelek sinyal jeleksering lost oxygenkalao bayar mau ceper layan konsumen memuaskanoxygen adlah tipu internet indonesia,Negatif
biaya pasang gratis teknisiy duit rokoky pakai duit duit rokok ribu alesany tari teknisi orang duit rokok dpatokin,Positif
pasang mending eror jam respon lambat layan buruk provider mending pakai oxygen,Positif
layan buruk ambil bayar jumat senin pasang kecewa,Positif
aplikasi susah buka woy,Negatif
layan baik baik sistem bayar pakai rugi oxygen lapor customer service janji baik paraaaaaahhhh,Negatif
kembang jaring intenetnya kendala lancar bulan naik rate bintang moga oxygen lancar jaya cepat tangan kendala bagus naik full bintang,Positif
sempurna,Positif
kacau oxygen los minggu teknisi benerin telepon cs kali gilir connec minggu loss bulan benerin kacauuu banget pelayananya payahhh bayar telat jatuh tempo babuuyyyy,Negatif
gue main ml mati wifi ya tolong lancarin,Positif
nih wifi lelet benerchat cs gadibales balesganiat amatnanti konsumen pindah provider tau,Negatif
kendala mantab,Positif
perangkat aplikasi kompatible,Negatif
deh pakai wifi oxyigen layan sopan suka lost merah mulu kecewa pokok customer servis sopan kunsultasi layan sopan nada bicara solot ngegas konsultasi salah suka lost merah nang suka marah tuh customer servis oxyigennya hahaha pokok wifi cabut,Negatif
jaring error baik kah pemberitahuan langgan,Negatif
layan buruk cs susah hubung,Negatif
apk hancur tau oxygen apk ya,Negatif
bagus tingkat playananya biar bagussemua oxygen harga pas kantong kulitas jaring ya memuaskanpokonya wifi oxygen rokomend,Positif
inet los jam detik lapor via email suruh tunggu teknisi lapor via wa aplg kayak omong tembok hahahhahaa tunggu nih inet ya normal ayo laahh langgan loh kayak after sales ya haddeeehhhh haddeeeehhh,Positif
baik,Negatif
tolong tegas sales teknisi pasang wifi oxygen mungut biaya tetap usaha khusus ya daerah jambi pungli ya maksa ngasihh ya gantung konsumen ya hak nilai ya minta maksa,Positif
sinyal jelek keluh datengin tugas,Negatif
burikkkkkkkk chat jam,Positif
dah pasang wifi tipu bulan bagus berikutny kayak permainin pmakaiannya,Negatif
suruh download aplikasi selfcare oxygen callcenter upgrate cepat menu upgratenya nasabah bayar tahun,Negatif
instal langsung ubah tanggal tagih ya cepat minggu,Negatif
channel ya banyakkayak disney channeldisney juniorfox moviercti,Positif
awesome,Positif
oxygen internet batas cepat hemat,Negatif
alhamdulillah mudah layan jasa prioritas langgan internet oke rekomended cari internet layan jam,Positif
wifi ya bagus lelet tangan ganggu cepat,Positif
aplikasi suruh login masuk password nama email hadehhhh,Negatif
sampah,Negatif
check tagih upate,Positif
moga lancar,Positif
respon customer service keluh pelanggansangat muas lemotkecepatan internet sesuai iklan komplain teknisi lusa operator lainkomplain inihari keluh selesai,Positif
bulan langgan internet ngadat lapor cs komplain teknisi surat kerja rusa henti langgan denda ribu internet ngadat kompensasi,Positif
oxygen payah minggu kali wi ya mati lapor jam pagi teknisi datang malam cs ya lemotttt payahlahh,Positif
layan ya bagus sinyal ya stabil mantaps,Positif
kecewa langgan abai los merah teknisi baik alas tarik kabel jauh rusa sebab pasang jaring langgan kena rusak langgan teknisi ya ngeyel keukeuh baik,Positif
tanggal jatuh tempo bayar main rubah sengaja dicocokin tanggal gaji ah,Negatif
los merah kamis tanggal februari bikin lapor tanggap lapor wa block nipu langgan kasih harap palsu tagih layan kayak tokai,Positif
wifi ngelek bayar mahal jaring nya ngelek,Positif
las los las los,Negatif
internet bebas hambat layan bagus terimakasih oxygenid,Negatif
gua langgan setia akir akir wifi ngeleg main jonson gua pengin izin banting alat wifi ya,Negatif
apk akurat sehinga bayar salah bayar,Negatif
lose teknisi sales csnya,Negatif
apknya pas buka freeze ya blank,Positif
gampang lapor cs ya,Positif
jaring parah banget nih stop langgan kayak,Positif
login ya passwordnya isi nama wifi pswrd wifi thanks,Positif
wifi jelek banget kadang internet ya sesal jdinya,Positif
layan buruk aplikasi lot cs lambat teknisi lambat minggu los merah etikad unutk baik,Negatif
langgan buat tagih oxygen buat id langgan nama paksa pokok bayar,Positif
sesal sumpah dengar teman bilang pakai gue pindah sih merah harap parah hari pasa muter pakai speedtest apk mbps langgan ya mbps woy refund kah cerita tipu nama,Positif
aplikasi tarik manfaat,Positif
down februari februari tim kait kunjung,Negatif
parah banget jaring wifi cuman telat bayar jaring wifi pas bayar tagih telepon cs oxygen layan ya sibuk buang pulsa doang,Positif
cek tagih bayar cs pajang online,Negatif
lambat,Positif
update login sampah,Negatif
customer service lambat pikir kali pasang oxygen,Positif
langgan oxygen kecewa kali los conection kpake wifi conectionsaya kecewa mnyesal langgan garansi,Positif
update aplikasi suruh update playstore ya baru niat sih nih oxygen bikin apps ya,Positif
respons tunggu email konfirmasi pasang kemarin,Positif
los no internet access bingung woi gua adu kmna call center wa cuman bottt doang isi,Negatif
minggu router loss merah telfon jawab cepat cuman lihat doang suruh telfon ditelfon cepat tunggu ditelfon cepat dihubungin gilir telat langsung dimatiin minggu nih tolong bayar full layan full,Negatif
provider slow response koneksi putus pakai provider,Positif
internet los putus kali durasi bulan responnya cepat kesini lambat cs agent wa read doang masak iya japri teknisi langsung internet los tiket keluh terang internet lot aneh banget lot enggak pakai turun fup ya pakai pikir pikir deh pakai internet oxygen,Positif
pasang beperapa lot tindak wa kasih suruh hubung kayak indihome pengenny jaring lancar mala kayak,Negatif
respon ya internet,Positif
tolong kasih layan baik customer kecewa baik sinyal los merah gilir tagih no tlpon gilir layan customer keluh kesah sinyal los merah banget minggu baik,Positif
parah bayar gagal pasang duit pulang,Negatif
bingung login daftar troublenya beres,Positif
komplen bals minggu asw,Positif
woy koneksi jaring gue gue chat balas customer service ya,Positif
aplikasi bantu,Negatif
harga promo tagih kagak sesuai sales ya songong,Positif
