Date,Username,Rating,Review Text,cleaning,case folding,normalisasi,tokenize,stopword removal,steming_data,Sentiment
2025-04-13 12:32:24,Cahaya Ghoib,5,bagus,bagus,bagus,bagus,['bagus'],['bagus'],bagus,Negatif
2025-04-13 09:36:25,Dhabith Musyawir,1,asem emang udah 2 hari los. percuma laporan gak ditanggapi. kacau emang. padahal belum ada 1 bulan,asem emang udah  hari los percuma laporan gak ditanggapi kacau emang padahal belum ada  bulan,asem emang udah  hari los percuma laporan gak ditanggapi kacau emang padahal belum ada  bulan,asem memang sudah hari los percuma laporan tidak ditanggapi kacau memang padahal belum ada bulan,"['asem', 'memang', 'sudah', 'hari', 'los', 'percuma', 'laporan', 'tidak', 'ditanggapi', 'kacau', 'memang', 'padahal', 'belum', 'ada', 'bulan']","['asem', 'los', 'laporan', 'ditanggapi', 'kacau']",asem los lapor tanggap kacau,Positif
2025-04-09 11:44:41,Eddy Wesley,5,Awesome,Awesome,awesome,awesome,['awesome'],['awesome'],awesome,Positif
2025-04-06 01:38:03,from u 2k years ago,1,"ini respon nya memang selama itu?, setiap bayar pasti nunggu 1-2jam biar internet nya idup lagi. bisakah diperbaikan atas reponnya?",ini respon nya memang selama itu setiap bayar pasti nunggu jam biar internet nya idup lagi bisakah diperbaikan atas reponnya,ini respon nya memang selama itu setiap bayar pasti nunggu jam biar internet nya idup lagi bisakah diperbaikan atas reponnya,ini respon ya memang selama itu setiap bayar pasti menunggu jam biar internet ya hidup lagi bisakah diperbaikan atas reponnya,"['ini', 'respon', 'ya', 'memang', 'selama', 'itu', 'setiap', 'bayar', 'pasti', 'menunggu', 'jam', 'biar', 'internet', 'ya', 'hidup', 'lagi', 'bisakah', 'diperbaikan', 'atas', 'reponnya']","['respon', 'ya', 'bayar', 'menunggu', 'jam', 'biar', 'internet', 'ya', 'hidup', 'diperbaikan', 'reponnya']",respon ya bayar tunggu jam biar internet ya hidup baik reponnya,Positif
2025-04-04 10:18:17,Mario Samego,4,Mohon ditambah fitur-fitur seperti self upgrade speed dll,Mohon ditambah fiturfitur seperti self upgrade speed dll,mohon ditambah fiturfitur seperti self upgrade speed dll,mohon ditambah fiturfitur seperti self upgrade speed dll,"['mohon', 'ditambah', 'fiturfitur', 'seperti', 'self', 'upgrade', 'speed', 'dll']","['mohon', 'ditambah', 'fiturfitur', 'self', 'upgrade', 'speed', 'dll']",mohon tambah fiturfitur self upgrade speed dll,Positif
2025-04-03 01:14:47,Sierra Oscar,3,"Pelayanan lelet, pengaduan lelet, tehnisi lelet, soal duit gercep",Pelayanan lelet pengaduan lelet tehnisi lelet soal duit gercep,pelayanan lelet pengaduan lelet tehnisi lelet soal duit gercep,pelayanan lelet pengaduan lelet tehnisi lelet soal duit gercep,"['pelayanan', 'lelet', 'pengaduan', 'lelet', 'tehnisi', 'lelet', 'soal', 'duit', 'gercep']","['pelayanan', 'lelet', 'pengaduan', 'lelet', 'tehnisi', 'lelet', 'duit', 'gercep']",layan lelet adu lelet tehnisi lelet duit gercep,Negatif
2025-04-03 01:14:11,Ade Irna Ikballah,1,"Akhir akhir ini sering internet LOS (Putus) 4x dalam durasi tidak ada sebulan... awalnya responnya cepat makin kesini lambat sekali. Cs Agent wa cuma di Read doang. Masak iya harus japri ke teknisi langsung terus. Internet LOS di tiket keluhan keterangannya malah internet lemot, Aneh banget... Lemot itu seenggaknya masih bisa di pake, cuma turun aja FUP nya, ini gak bisa dipake sama sekali. Pikir pikir lagi deh yg mau pake Internet Oxygen...",Akhir akhir ini sering internet LOS Putus x dalam durasi tidak ada sebulan awalnya responnya cepat makin kesini lambat sekali Cs Agent wa cuma di Read doang Masak iya harus japri ke teknisi langsung terus Internet LOS di tiket keluhan keterangannya malah internet lemot Aneh banget Lemot itu seenggaknya masih bisa di pake cuma turun aja FUP nya ini gak bisa dipake sama sekali Pikir pikir lagi deh yg mau pake Internet Oxygen,akhir akhir ini sering internet los putus x dalam durasi tidak ada sebulan awalnya responnya cepat makin kesini lambat sekali cs agent wa cuma di read doang masak iya harus japri ke teknisi langsung terus internet los di tiket keluhan keterangannya malah internet lemot aneh banget lemot itu seenggaknya masih bisa di pake cuma turun aja fup nya ini gak bisa dipake sama sekali pikir pikir lagi deh yg mau pake internet oxygen,akhir akhir ini sering internet los putus kali dalam durasi tidak ada sebulan awalnya responnya cepat makin kesini lambat sekali cs agent wa cuma di read doang masak iya harus japri ke teknisi langsung terus internet los di tiket keluhan keterangannya malah internet lemot aneh banget lemot itu seenggaknya masih bisa di pakai cuma turun saja fup ya ini tidak bisa dipakai sama sekali pikir pikir lagi deh yang mau pakai internet oxygen,"['akhir', 'akhir', 'ini', 'sering', 'internet', 'los', 'putus', 'kali', 'dalam', 'durasi', 'tidak', 'ada', 'sebulan', 'awalnya', 'responnya', 'cepat', 'makin', 'kesini', 'lambat', 'sekali', 'cs', 'agent', 'wa', 'cuma', 'di', 'read', 'doang', 'masak', 'iya', 'harus', 'japri', 'ke', 'teknisi', 'langsung', 'terus', 'internet', 'los', 'di', 'tiket', 'keluhan', 'keterangannya', 'malah', 'internet', 'lemot', 'aneh', 'banget', 'lemot', 'itu', 'seenggaknya', 'masih', 'bisa', 'di', 'pakai', 'cuma', 'turun', 'saja', 'fup', 'ya', 'ini', 'tidak', 'bisa', 'dipakai', 'sama', 'sekali', 'pikir', 'pikir', 'lagi', 'deh', 'yang', 'mau', 'pakai', 'internet', 'oxygen']","['internet', 'los', 'putus', 'kali', 'durasi', 'sebulan', 'responnya', 'cepat', 'kesini', 'lambat', 'cs', 'agent', 'wa', 'read', 'doang', 'masak', 'iya', 'japri', 'teknisi', 'langsung', 'internet', 'los', 'tiket', 'keluhan', 'keterangannya', 'internet', 'lemot', 'aneh', 'banget', 'lemot', 'seenggaknya', 'pakai', 'turun', 'fup', 'ya', 'dipakai', 'pikir', 'pikir', 'deh', 'pakai', 'internet', 'oxygen']",internet los putus kali durasi bulan responnya cepat kesini lambat cs agent wa read doang masak iya japri teknisi langsung internet los tiket keluh terang internet lot aneh banget lot enggak pakai turun fup ya pakai pikir pikir deh pakai internet oxygen,Positif
2025-04-02 07:06:24,Abdillah Alexx,2,apk kurang akurat sehinga pembayaran sering salah bayar,apk kurang akurat sehinga pembayaran sering salah bayar,apk kurang akurat sehinga pembayaran sering salah bayar,apk kurang akurat sehinga pembayaran sering salah bayar,"['apk', 'kurang', 'akurat', 'sehinga', 'pembayaran', 'sering', 'salah', 'bayar']","['apk', 'akurat', 'sehinga', 'pembayaran', 'salah', 'bayar']",apk akurat sehinga bayar salah bayar,Negatif
2025-03-26 02:56:05,Hadisti Arianti,2,pembaharuan mulu tiap bulan heran,pembaharuan mulu tiap bulan heran,pembaharuan mulu tiap bulan heran,pembaharuan mulu tiap bulan heran,"['pembaharuan', 'mulu', 'tiap', 'bulan', 'heran']","['pembaharuan', 'mulu', 'heran']",baharu mulu heran,Negatif
2025-03-25 23:17:51,Imam Gumilar,1,"sinyal makin sini makin jelek, keluhan lama buat datengin petugasnya",sinyal makin sini makin jelek keluhan lama buat datengin petugasnya,sinyal makin sini makin jelek keluhan lama buat datengin petugasnya,sinyal makin sini makin jelek keluhan lama buat datengin petugasnya,"['sinyal', 'makin', 'sini', 'makin', 'jelek', 'keluhan', 'lama', 'buat', 'datengin', 'petugasnya']","['sinyal', 'jelek', 'keluhan', 'datengin', 'petugasnya']",sinyal jelek keluh datengin tugas,Negatif
2025-03-25 06:02:25,Shahih Bukhari,5,provider yang bagus banget jaringan dan harga stabil ...mantap 🥰🥰🥰,provider yang bagus banget jaringan dan harga stabil mantap ,provider yang bagus banget jaringan dan harga stabil mantap ,provider yang bagus banget jaringan dan harga stabil mantap,"['provider', 'yang', 'bagus', 'banget', 'jaringan', 'dan', 'harga', 'stabil', 'mantap']","['provider', 'bagus', 'banget', 'jaringan', 'harga', 'stabil', 'mantap']",provider bagus banget jaring harga stabil mantap,Positif
2025-03-22 20:48:48,Widodo Widodo,1,saya kecewa baru bayar 306.000 trus ada pemutusan sepihak .. krn oxygen tdk bolèh lagi masuk ke wilayah saya malaka sari duren sawit ... knapa dgn RW 03 ... balikin dong uangnya ..,saya kecewa baru bayar  trus ada pemutusan sepihak  krn oxygen tdk bolh lagi masuk ke wilayah saya malaka sari duren sawit  knapa dgn RW   balikin dong uangnya ,saya kecewa baru bayar  trus ada pemutusan sepihak  krn oxygen tdk bolh lagi masuk ke wilayah saya malaka sari duren sawit  knapa dgn rw   balikin dong uangnya ,saya kecewa baru bayar terus ada pemutusan sepihak karena oxygen tidak bolh lagi masuk ke wilayah saya malaka sari duren sawit knapa dengan rw balikin dong uangnya,"['saya', 'kecewa', 'baru', 'bayar', 'terus', 'ada', 'pemutusan', 'sepihak', 'karena', 'oxygen', 'tidak', 'bolh', 'lagi', 'masuk', 'ke', 'wilayah', 'saya', 'malaka', 'sari', 'duren', 'sawit', 'knapa', 'dengan', 'rw', 'balikin', 'dong', 'uangnya']","['kecewa', 'bayar', 'pemutusan', 'oxygen', 'bolh', 'masuk', 'wilayah', 'malaka', 'sari', 'duren', 'sawit', 'knapa', 'rw', 'balikin', 'uangnya']",kecewa bayar putus oxygen bolh masuk wilayah malaka sari duren sawit knapa rw balikin uang,Negatif
2025-03-21 22:34:50,Rudi Anto,1,ini aplikasi baru beberapa hari sudah update ja abisin ram saja gak penting update2 buang buang penyimpanan saja tolong lah di perbaiki lagi apkiaksi dikit2 update sekalian napa,ini aplikasi baru beberapa hari sudah update ja abisin ram saja gak penting update buang buang penyimpanan saja tolong lah di perbaiki lagi apkiaksi dikit update sekalian napa,ini aplikasi baru beberapa hari sudah update ja abisin ram saja gak penting update buang buang penyimpanan saja tolong lah di perbaiki lagi apkiaksi dikit update sekalian napa,ini aplikasi baru beberapa hari sudah update saja abisin ram saja tidak penting update buang buang penyimpanan saja tolong lah di perbaiki lagi apkiaksi dikit update sekalian kenapa,"['ini', 'aplikasi', 'baru', 'beberapa', 'hari', 'sudah', 'update', 'saja', 'abisin', 'ram', 'saja', 'tidak', 'penting', 'update', 'buang', 'buang', 'penyimpanan', 'saja', 'tolong', 'lah', 'di', 'perbaiki', 'lagi', 'apkiaksi', 'dikit', 'update', 'sekalian', 'kenapa']","['aplikasi', 'update', 'abisin', 'ram', 'update', 'buang', 'buang', 'penyimpanan', 'tolong', 'perbaiki', 'apkiaksi', 'dikit', 'update']",aplikasi update abisin ram update buang buang simpan tolong baik apkiaksi dikit update,Negatif
2025-03-19 16:26:58,Andri Sastrawijaya,5,lumayan agak lamcar,lumayan agak lamcar,lumayan agak lamcar,lumayan agak lamcar,"['lumayan', 'agak', 'lamcar']","['lumayan', 'lamcar']",lumayan lamcar,Positif
2025-03-19 12:41:46,rio prbw,5,"pake oxygen, pasang wifi jam 9 pagi, tiba tiba ujan gede, wifi loss, ada tanda merah di router, udh di restart (restart ya guys bukan riset), masih tetep sama, paginya laporan, kenapa loss, udah dilakuin segala cara tapi masih ga normal,kdng bisa ke smbung tapi stiap dipake lebih dari 2 orang dia loss lagi, akhirnya pagi itu juga lngsng lapor ke cs via WhatsApp, beberapa menit lngsng dapet nomer laporan. malem langsung di cek sama teknisi, gercep. pdhal smpet ragu krna review jlk di playstore.",pake oxygen pasang wifi jam  pagi tiba tiba ujan gede wifi loss ada tanda merah di router udh di restart restart ya guys bukan riset masih tetep sama paginya laporan kenapa loss udah dilakuin segala cara tapi masih ga normalkdng bisa ke smbung tapi stiap dipake lebih dari  orang dia loss lagi akhirnya pagi itu juga lngsng lapor ke cs via WhatsApp beberapa menit lngsng dapet nomer laporan malem langsung di cek sama teknisi gercep pdhal smpet ragu krna review jlk di playstore,pake oxygen pasang wifi jam  pagi tiba tiba ujan gede wifi loss ada tanda merah di router udh di restart restart ya guys bukan riset masih tetep sama paginya laporan kenapa loss udah dilakuin segala cara tapi masih ga normalkdng bisa ke smbung tapi stiap dipake lebih dari  orang dia loss lagi akhirnya pagi itu juga lngsng lapor ke cs via whatsapp beberapa menit lngsng dapet nomer laporan malem langsung di cek sama teknisi gercep pdhal smpet ragu krna review jlk di playstore,pakai oxygen pasang wifi jam pagi tiba tiba ujan gede wifi loss ada tanda merah di router sudah di restart restart ya guys bukan riset masih tetap sama paginya laporan kenapa loss sudah dilakuin segala cara tapi masih tidak normalkdng bisa ke smbung tapi setiap dipakai lebih dari orang dia loss lagi akhirnya pagi itu juga lngsng lapor ke cs via whatsapp beberapa menit lngsng dapat nomer laporan malam langsung di cek sama teknisi gercep padahal smpet ragu karena review jlk di playstore,"['pakai', 'oxygen', 'pasang', 'wifi', 'jam', 'pagi', 'tiba', 'tiba', 'ujan', 'gede', 'wifi', 'loss', 'ada', 'tanda', 'merah', 'di', 'router', 'sudah', 'di', 'restart', 'restart', 'ya', 'guys', 'bukan', 'riset', 'masih', 'tetap', 'sama', 'paginya', 'laporan', 'kenapa', 'loss', 'sudah', 'dilakuin', 'segala', 'cara', 'tapi', 'masih', 'tidak', 'normalkdng', 'bisa', 'ke', 'smbung', 'tapi', 'setiap', 'dipakai', 'lebih', 'dari', 'orang', 'dia', 'loss', 'lagi', 'akhirnya', 'pagi', 'itu', 'juga', 'lngsng', 'lapor', 'ke', 'cs', 'via', 'whatsapp', 'beberapa', 'menit', 'lngsng', 'dapat', 'nomer', 'laporan', 'malam', 'langsung', 'di', 'cek', 'sama', 'teknisi', 'gercep', 'padahal', 'smpet', 'ragu', 'karena', 'review', 'jlk', 'di', 'playstore']","['pakai', 'oxygen', 'pasang', 'wifi', 'jam', 'pagi', 'ujan', 'gede', 'wifi', 'loss', 'tanda', 'merah', 'router', 'restart', 'restart', 'ya', 'guys', 'riset', 'paginya', 'laporan', 'loss', 'dilakuin', 'normalkdng', 'smbung', 'dipakai', 'orang', 'loss', 'pagi', 'lngsng', 'lapor', 'cs', 'via', 'whatsapp', 'menit', 'lngsng', 'nomer', 'laporan', 'malam', 'langsung', 'cek', 'teknisi', 'gercep', 'smpet', 'ragu', 'review', 'jlk', 'playstore']",pakai oxygen pasang wifi jam pagi ujan gede wifi loss tanda merah router restart restart ya guys riset pagi lapor loss dilakuin normalkdng smbung pakai orang loss pagi lngsng lapor cs via whatsapp menit lngsng nomer lapor malam langsung cek teknisi gercep smpet ragu review jlk playstore,Positif
2025-03-19 08:42:56,Muhammad Rifaldiansyah,1,sampah,sampah,sampah,sampah,['sampah'],['sampah'],sampah,Negatif
2025-03-18 13:11:14,Harris Harto Dininggrat,1,"KOK TIAP BULAN HARUS LAPOR, INTERNET SLOW",KOK TIAP BULAN HARUS LAPOR INTERNET SLOW,kok tiap bulan harus lapor internet slow,kok tiap bulan harus lapor internet slow,"['kok', 'tiap', 'bulan', 'harus', 'lapor', 'internet', 'slow']","['lapor', 'internet', 'slow']",lapor internet slow,Positif
